FLOOD_HEIGHT,RAINFALL,TMAX,TMIN,TMEAN,WIND_SPEED,WIND_DIRECTION,ELEVATION,SLOPE
8,6,35,26.4,30.7,2,270,2.024,0.738
8,15,34.3,25.6,30,1,320,33.112,0.251
8,9.9,34.4,24.4,29.4,1,160,51.21,2.284
5,9.9,34.4,24.4,29.4,1,160,41.147,0.706
10,46.8,35,25.3,30.2,1,220,4.976,1.611
4,46.8,35,25.3,30.2,1,220,26.406,5.636
20,72.7,33.4,25.3,29.4,2,180,75.71,1.146
20,72.7,33.4,25.3,29.4,2,180,16.569,1.812
20,72.7,33.4,25.3,29.4,2,180,6.296,2.396
8,72.7,33.4,25.3,29.4,2,180,48.8,0.981
20,72.7,33.4,25.3,29.4,2,180,5.308,0.148
10,72.7,33.4,25.3,29.4,2,180,33.283,11.102
10,12.5,33.6,26,29.8,1,220,35.618,1.317
8,12.5,33.6,26,29.8,1,220,3.633,0.906
20,12.5,33.6,26,29.8,1,220,3.212,0.144
20,12.5,33.6,26,29.8,1,220,5.244,9.227
8,12.5,33.6,26,29.8,1,220,30.812,0.853
20,78.7,33.1,25,29.1,1,360,4.813,11.972
20,21.5,32.5,25.2,28.9,3,250,2.925,3.554
20,2.8,33.5,25.8,29.7,1,180,5.562,19.486
8,2.8,33.5,25.8,29.7,1,180,15.744,1.627
6,1.2,33,25.8,29.4,3,250,1.492,1.354
20,1.2,33,25.8,29.4,3,250,1.543,0.925
12,1.2,33,25.8,29.4,3,250,2.175,2.321
10,2.8,33.5,25.8,29.7,1,180,8.439,1.432
10,1.2,33,25.8,29.4,3,250,1.185,4.875
12,1.2,33,25.8,29.4,3,250,0.586,1.697
8,2,33.5,26,29.8,2,110,5.849,1.033
20,1.2,33,25.8,29.4,3,250,3.176,5.828
8,2.8,33.5,25.8,29.7,1,180,38.049,0.804
8,1.2,33,25.8,29.4,3,250,0.924,1.897
8,1.2,33,25.8,29.4,3,250,1.086,1.644
8,2.8,33.5,25.8,29.7,1,180,15.908,1.338
10,1.2,33,25.8,29.4,3,250,1.648,1.544
32,1.2,33,25.8,29.4,3,250,0.932,0.646
24,76.5,33,25.5,29.3,3,90,1.144,0.921
12,76.5,33,25.5,29.3,3,90,0.839,1.347
8,-1,33.3,25.5,29.4,2,90,3.147,0.718
12,34.8,32.7,24.3,28.5,2,140,6.668,1.397
8,34.8,32.7,24.3,28.5,2,140,40.505,1.388
10,34.8,32.7,24.3,28.5,2,140,6.386,0.845
8,34.8,32.7,24.3,28.5,2,140,5.008,0.921
8,34.8,32.7,24.3,28.5,2,140,37.248,0.428
8,34.8,32.7,24.3,28.5,2,140,33.126,0.913
8,34.8,32.7,24.3,28.5,2,140,37.613,1.742
8,34.8,32.7,24.3,28.5,2,140,33.246,1.077
13,34.8,32.7,24.3,28.5,2,140,6.343,1.657
10,-1,33.3,25.5,29.4,2,90,,
8,34.8,32.7,24.3,28.5,2,140,40.789,1.749
8,-1,33.3,25.5,29.4,2,90,2.183,0.727
8,34.8,32.7,24.3,28.5,2,140,58.315,2.384
19,7,33,26.1,29.5,2,250,0.927,2.27
19,7,33,26.1,29.5,2,250,3.115,1.635
8,25.1,32.8,25.5,29.1,1,320,18.179,3.569
9,22.9,32.4,24.3,28.4,1,220,4.404,2.634
11,22.9,32.4,24.3,28.4,1,220,50.951,1.259
7,22.9,32.4,24.3,28.4,1,220,52.403,0.301
6,22.9,32.4,24.3,28.4,1,220,16.723,0.469
8,22.9,32.4,24.3,28.4,1,220,32.313,0.728
8,22.9,32.4,24.3,28.4,1,220,33.305,1.617
45,22.9,32.4,24.3,28.4,1,220,6.733,5.38
22,22.9,32.4,24.3,28.4,1,220,37.303,0.801
18,22.9,32.4,24.3,28.4,1,220,6.328,2.587
11,50.5,31.5,25.3,28.4,3,260,2.021,2.745
11,50.5,31.5,25.3,28.4,3,260,2.209,3.595
6,22.9,32.4,24.3,28.4,1,220,57.338,0.954
11,22.9,32.4,24.3,28.4,1,220,12.283,2.413
8,27.7,32,25.8,28.9,3,250,0.746,1.325
8,27.7,32,25.8,28.9,3,250,3.158,2.724
17,27.7,32,25.8,28.9,3,250,2.499,0.789
8,22.9,32.4,24.3,28.4,1,220,2.129,2.284
4,13.8,32.3,24.9,28.6,1,140,1.826,1.303
4,13.8,32.3,24.9,28.6,1,140,3.661,5.094
15,13.8,32.3,24.9,28.6,1,140,32.823,1.407
10,13.8,32.3,24.9,28.6,1,140,32.519,0.457
8,13.8,32.3,24.9,28.6,1,140,35.8,1.509
15,23.2,31.5,26,28.8,3,140,2.598,0.937
4,23.2,31.5,26,28.8,3,140,1.53,0.6
8,23.2,31.5,26,28.8,3,140,-3.952,23.149
8,23.2,31.5,26,28.8,3,140,0.759,2.152
7,2.8,32.9,24.5,28.7,1,180,57.274,2.907
6,12.6,33.1,24.8,29,1,140,41.012,2.609
6,12.6,33.1,24.8,29,1,140,36.582,3.572
6,12.6,33.1,24.8,29,1,140,36.415,1.281
18,12.6,33.1,24.8,29,1,140,4.127,3.318
6,12.6,33.1,24.8,29,1,140,30.58,0.774
6,1.8,30,24.6,27.3,2,140,9.637,2.868
17,-999,31.6,25.7,28.7,2,130,2.958,1.174
18,1.8,30,24.6,27.3,2,140,4.081,1.509
6,1.8,30,24.6,27.3,2,140,3,1.358
6,3.4,31.3,25.5,28.4,4,140,2.302,1.218
6,3.4,31.3,25.5,28.4,4,140,2.881,0.547
6,3.4,31.3,25.5,28.4,4,140,2.891,0.676
18,1.8,30,24.6,27.3,2,140,3.792,1.478
6,1.8,30,24.6,27.3,2,140,6.212,2.185
6,3.4,31.3,25.5,28.4,4,140,2.413,0.765
18,3.4,31.3,25.5,28.4,4,140,2.832,3.332
6,3.4,31.3,25.5,28.4,4,140,2.598,1.509
8,2,33.3,25,29.1,1,140,6.831,0.589
20,2,33.3,25,29.1,1,140,6.294,1.6
36,9.2,33,24.7,28.9,1,270,73.358,5.907
13,9.2,33,24.7,28.9,1,270,4.925,5.637
10,16,31,23.7,27.4,3,250,4.67,5.166
37,87.9,31.5,24,27.8,3,250,4.389,1.878
6,47.1,32.8,24,28.4,1,270,20.113,0.94
6,47.1,32.8,24,28.4,1,270,13.289,0.618
6,47.1,32.8,24,28.4,1,270,17.379,0.509
8,4.2,30.5,25.8,28.2,2,180,0.827,0.084
10,4.2,30.5,25.8,28.2,2,180,0.703,0.373
10,4.2,30.5,25.8,28.2,2,180,0.685,1.027
10,4.2,30.5,25.8,28.2,2,180,0.797,0.855
8,4.2,30.5,25.8,28.2,2,180,1.46,2.546
8,4.2,30.5,25.8,28.2,2,180,0.952,4.319
17,0,33.4,24.7,29.1,1,160,2.883,7.543
18,21.6,31.7,24.1,27.9,1,140,37.089,2.47
17,21.6,31.7,24.1,27.9,1,140,59.866,0.693
17,21.6,31.7,24.1,27.9,1,140,67.881,0.869
37,21.6,31.7,24.1,27.9,1,140,49.607,6.405
48,21.6,31.7,24.1,27.9,1,140,72.541,1.317
37,21.6,31.7,24.1,27.9,1,140,57.313,0.979
21,21.6,31.7,24.1,27.9,1,140,56.827,3.1
18,21.6,31.7,24.1,27.9,1,140,67.79,4.567
6,21.6,31.7,24.1,27.9,1,140,75.694,0.22
6,5.8,33.5,24.3,28.9,1,140,18.209,1.491
19,5.8,33.5,24.3,28.9,1,140,32.294,0.571
16,5.8,33.5,24.3,28.9,1,140,7.791,2.275
8,30.6,34,24.8,29.4,3,160,3.157,0.57
8,30.6,34,24.8,29.4,3,160,1.912,1.535
18,5.8,33.5,24.3,28.9,1,140,8.372,2.705
6,30.6,34,24.8,29.4,3,160,2.341,0.524
6,13.5,34.1,24.4,29.3,2,120,7.796,1.055
6,13.5,34.1,24.4,29.3,2,120,2.408,0.626
18,30.6,34,24.8,29.4,3,160,8.372,1.727
18,30.6,34,24.8,29.4,3,160,9.427,1.132
18,30.6,34,24.8,29.4,3,160,3.463,4.039
8,30.6,34,24.8,29.4,3,160,2.89,0.651
21,5.8,33.5,24.3,28.9,1,140,7.898,1.387
7,5.8,33.5,24.3,28.9,1,140,6.858,1.382
12,57,31.1,23.4,27.3,2,70,1.196,1.44
19,57,31.1,23.4,27.3,2,70,0.917,1.62
19,57,31.1,23.4,27.3,2,70,0.889,1.466
27,57,31.1,23.4,27.3,2,70,3.184,1.158
4,57,31.1,23.4,27.3,2,70,0.823,0.931
19,57.4,31.5,23.5,27.5,1,270,18.041,7.543
19,57.4,31.5,23.5,27.5,1,270,3.155,1.069
7,57.4,31.5,23.5,27.5,1,270,16.751,7.389
19,57.4,31.5,23.5,27.5,1,270,7.831,1.748
19,57.4,31.5,23.5,27.5,1,270,4.479,6.391
7,57,31.1,23.4,27.3,2,70,1.476,1.838
6,57,31.1,23.4,27.3,2,70,0.792,9.19
10,57,31.1,23.4,27.3,2,70,1.585,0.308
12,57,31.1,23.4,27.3,2,70,0.833,1.322
11,57,31.1,23.4,27.3,2,70,1.492,1.742
7,30.6,30,24.8,27.4,2,110,1.843,1.557
8,30.6,30,24.8,27.4,2,110,2.851,5.625
7,30.6,30,24.8,27.4,2,110,0.84,0.135
8,11.5,30.3,24,27.2,2,130,2.013,0.74
7,30.6,30,24.8,27.4,2,110,1.312,4.54
20,70.3,33.2,22.2,27.7,1,220,41.197,3.333
40,70.3,33.2,22.2,27.7,1,220,6.107,1.072
20,70.3,33.2,22.2,27.7,1,220,3.185,27.813
20,38.8,31.8,25.6,28.7,3,250,2.529,0.398
20,70.3,33.2,22.2,27.7,1,220,45.252,0.482
24,70.3,33.2,22.2,27.7,1,220,1.402,1.09
8,38.8,31.8,25.6,28.7,3,250,0.251,0.573
14,38.8,31.8,25.6,28.7,3,250,-0.105,1.364
6,38.8,31.8,25.6,28.7,3,250,0.102,0.828
28,38.8,31.8,25.6,28.7,3,250,1.96,1.64
5,38.8,31.8,25.6,28.7,3,250,3.404,3.532
36,38.8,31.8,25.6,28.7,3,250,3.123,1.239
20,38.8,31.8,25.6,28.7,3,250,0.686,0.095
25,38.8,31.8,25.6,28.7,3,250,0.792,0.324
21,70.3,33.2,22.2,27.7,1,220,13.578,1.328
50,70.3,33.2,22.2,27.7,1,220,8.152,1.318
18,70.3,33.2,22.2,27.7,1,220,6.762,0.593
40,70.3,33.2,22.2,27.7,1,220,6.667,13.078
15,70.3,33.2,22.2,27.7,1,220,6.27,1.224
36,38.8,31.8,25.6,28.7,3,250,1.186,0.614
30,38.8,31.8,25.6,28.7,3,250,0.965,1.748
20,70.3,33.2,22.2,27.7,1,220,16.63,3.155
