RAINFALL,TMAX,TMIN,TMEAN,WIND_SPEED,WIND_DIRECTION,FLOOD_HEIGHT_HIGHEST,FLOOD_HEIGHT_LOWEST,FLOOD__HEIGHT_AVE
0.2,31.8,22.7,27.3,1,70,-1,-1,-1
0,31.5,22,26.8,1,50,-1,-1,-1
0,31,20.6,25.8,1,270,-1,-1,-1
0,31.8,20.9,26.4,1,50,-1,-1,-1
0,31,22.4,26.7,1,360,-1,-1,-1
0,30.6,20.5,25.5,1,320,-1,-1,-1
0,31.6,22.6,27.1,1,360,-1,-1,-1
0,31,22.8,26.9,1,230,-1,-1,-1
0,33.2,21,27.1,1,320,-1,-1,-1
0,33.5,23,28.3,1,90,-1,-1,-1
0,33.5,21,27.3,1,90,-1,-1,-1
0,33.3,21.2,27.3,1,360,-1,-1,-1
0,31.5,22.3,26.9,1,180,-1,-1,-1
0,31.7,22.3,27,1,360,-1,-1,-1
0,31.9,21.1,26.5,1,250,-1,-1,-1
0,32,20,26,1,320,-1,-1,-1
0,32,22.8,27.4,1,250,-1,-1,-1
0,30.5,20.5,25.5,1,90,-1,-1,-1
0,31,20.5,25.8,1,360,-1,-1,-1
0,30.8,22.9,26.9,2,360,-1,-1,-1
5.8,30.6,22.6,26.6,1,360,-1,-1,-1
9.2,25.8,19,22.4,1,360,-1,-1,-1
0,31.5,21,26.3,1,90,-1,-1,-1
0,32,20,26,1,360,-1,-1,-1
0,31.9,21.7,26.8,1,360,-1,-1,-1
0,30.8,22.1,26.5,1,360,-1,-1,-1
2.1,28.2,21.1,24.7,1,360,-1,-1,-1
0,27.5,20.8,24.2,1,360,-1,-1,-1
0,26.5,17.9,22.2,1,40,-1,-1,-1
0,29.8,19.7,24.8,1,360,-1,-1,-1
0,26,20.6,23.3,2,360,-1,-1,-1
0,29.3,20.9,25.1,1,50,-1,-1,-1
0.5,29.5,22.2,25.9,1,360,-1,-1,-1
6.1,27.8,22.2,25,1,50,-1,-1,-1
1.8,30.7,21.9,26.3,1,50,-1,-1,-1
25.7,29,22.5,25.8,1,360,-1,-1,-1
0,31,23,27,1,320,-1,-1,-1
4,31.5,23.3,27.4,1,360,-1,-1,-1
0,28.5,22.5,25.5,1,360,-1,-1,-1
0,30.5,20.6,25.5,1,50,-1,-1,-1
0,29.6,22,25.8,1,270,-1,-1,-1
0,31.4,23.4,27.4,1,90,-1,-1,-1
0,30.5,22.7,26.6,1,270,-1,-1,-1
0,32,22.5,27.3,1,90,-1,-1,-1
0,30.5,22.2,26.4,0,0,-1,-1,-1
0,31.7,23.2,27.5,1,360,-1,-1,-1
0,30.7,23.9,27.3,1,50,-1,-1,-1
0,29.5,22.5,26,1,50,-1,-1,-1
0,32.5,22.7,27.6,1,50,-1,-1,-1
0,32.3,22.9,27.6,1,90,-1,-1,-1
0,33.4,24.5,29,1,90,-1,-1,-1
0,34,22.7,28.4,1,90,-1,-1,-1
0,33.5,22,27.8,1,90,-1,-1,-1
0,33.5,19.5,26.5,1,90,-1,-1,-1
0,32.2,20.6,26.4,1,180,-1,-1,-1
