RAINFALL,TMAX,TMIN,TMEAN,WIND_SPEED,WIND_DIRECTION,FLOOD_HEIGHT_HIGHEST,FLOOD_HEIGHT_LOWEST,FLOOD__HEIGHT_AVE
-1,31,24.3,27.7,1,120,12.21,12.16,12.18
-1,31,24.6,27.8,2,110,12.2,12.13,12.16
-1,30.9,22.7,26.8,4,110,12.2,12.1,12.16
-1,30.4,23.3,26.9,4,110,12.18,12.09,12.13
-1,30.6,24.2,27.4,3,110,12.16,12.05,12.1
-1,30.6,23.3,27,2,120,12.16,12.03,12.08
-1,32.1,24.4,28.3,1,140,12.15,12,12.06
-1,30.2,24,27.1,2,120,12.13,11.99,12.04
-1,31.7,24.2,28,2,110,12.11,11.96,12.03
-1,31.9,25.6,28.8,2,110,12.1,11.93,12
-1,31.2,22.8,27,3,120,12.08,11.92,11.98
-1,31.1,23.1,27.1,2,120,12.04,11.9,11.96
-1,30.8,24.4,27.6,3,130,12.01,11.88,11.94
-1,31.8,24.5,28.2,2,120,11.97,11.87,11.91
-1,31.3,23.4,27.4,3,110,11.93,11.86,11.9
-1,31.5,22.2,26.9,2,110,11.94,11.85,11.88
-1,31.1,24.5,27.8,2,160,11.94,11.8,11.85
-1,29.7,23.8,26.8,4,120,11.94,11.78,11.85
-1,29.4,23.4,26.4,3,20,11.93,11.74,11.81
-1,29.8,22.6,26.2,2,20,11.92,11.71,11.79
-1,28.5,22.6,25.5,4,110,11.92,11.68,11.76
-1,25.9,21.8,23.9,3,80,11.97,11.7,11.8
-1,30,22.8,26.4,5,110,11.93,11.74,11.82
-1,25,22.4,23.7,2,100,11.93,11.73,11.79
-1,30.4,22.7,26.5,2,60,11.88,11.71,11.77
-1,29.4,22.6,26,4,110,11.86,11.7,11.76
-1,27.4,21.1,24.3,3,50,11.79,11.69,11.74
-1,25.8,23.1,24.5,4,60,11.77,11.71,11.74
-1,26.7,20.7,23.7,2,80,11.75,11.68,11.72
-1,28.5,21.2,24.9,3,120,11.75,11.66,11.7
-1,26.6,22.7,24.7,2,20,11.74,11.62,11.66
-1,27.9,22.5,25.2,1,110,11.74,11.62,11.67
-1,28.7,23.4,26,1,70,11.75,11.59,11.65
-1,27.6,23.2,25.4,2,160,11.75,11.58,11.65
-1,29.2,23.9,26.5,3,110,11.8,11.58,11.67
-1,28.1,23.6,25.9,2,360,11.79,11.58,11.68
-1,29.5,24,26.8,1,200,11.81,11.6,11.68
-1,30.3,23.8,27.1,2,270,11.8,11.61,11.68
-1,29.9,24.4,27.1,4,120,11.86,11.7,11.78
-1,28.8,22.1,25.5,4,120,11.83,11.63,11.71
-1,29,24,26.5,3,120,11.77,11.64,11.68
-1,27.8,24.4,26.1,2,120,11.71,11.61,11.65
-1,31.4,23.9,27.6,2,130,11.68,11.6,11.65
-1,32,24.5,28.3,2,140,11.72,11.61,11.64
-1,31.9,25.1,28.5,2,120,11.68,11.57,11.62
-1,30.2,25.1,27.7,4,120,11.72,11.54,11.62
-1,29.6,24.2,26.9,6,110,11.71,11.54,11.61
-1,29.1,24.1,26.6,4,120,11.69,11.5,11.59
-1,31,24.2,27.6,4,110,11.7,11.46,11.56
-1,31.7,24.9,28.3,3,120,11.69,11.44,11.54
-1,32.6,25.7,29.2,2,140,11.66,11.44,11.53
-1,31.1,25.1,28.1,3,120,11.64,11.42,11.52
-1,32.4,25.1,28.8,3,140,11.62,11.41,11.5
-1,31.8,22,26.9,4,110,11.6,11.43,11.49
-1,31.8,23.1,27.5,4,120,11.84,11.43,11.5
-1,31.8,23,27.4,3,120,11.55,11.4,11.46
-1,33,24.7,28.9,4,120,11.52,11.39,11.44
-1,31.6,23.7,27.7,3,120,11.49,11.36,11.42
-1,30.9,24.3,27.6,2,120,11.47,11.35,11.4
-1,31.8,24.7,28.3,5,120,11.47,11.31,11.38
-1,31.9,24.5,28.2,3,120,11.46,11.3,11.37
-1,32.7,23.9,28.3,3,110,11.48,11.26,11.35
-1,28.7,24.3,26.5,1,90,11.51,11.24,11.35
-1,31.7,24.5,28.1,3,120,11.5,11.26,11.37
-1,33.3,25.3,29.3,2,120,11.54,11.3,11.4
-1,31.9,25,28.5,1,270,11.57,11.3,11.4
-1,31.3,25.8,28.6,3,260,11.54,11.29,11.41
-1,32.9,24.8,28.9,1,140,11.51,11.37,11.43
-1,31.3,25.7,28.5,2,300,11.52,11.36,11.42
-1,31.3,25.7,28.5,2,120,11.48,11.35,11.4
-1,33.5,25.3,29.4,2,120,11.46,11.32,11.39
-1,32.7,25.3,29,2,130,11.5,11.31,11.38
