RAINFALL,TMAX,TMIN,TMEAN,WIND_SPEED,WIND_DIRECTION,FLOOD_HEIGHT_HIGHEST,FLOOD_HEIGHT_LOWEST,FLOOD__HEIGHT_AVE
0,30.2,21,25.6,2,360,11.59,10.5,10.95
0,30.3,21.5,25.9,2,360,11.54,10.51,10.93
0,29,18.2,23.6,3,50,11.5,10.53,10.9
0,29,16.7,22.9,1,360,11.45,10.54,10.89
0,30.7,17.2,24,1,40,11.3,10.57,10.88
0,31.5,18,24.8,1,360,11.17,10.64,10.9
0,31.5,17.8,24.7,1,360,11.04,10.68,10.9
0,30.5,20.8,25.7,1,50,11.09,10.73,10.88
0,29,18,23.5,1,40,11.2,10.67,10.87
0,29,17,23,1,360,11.28,10.57,10.87
0,31,17.8,24.4,1,50,11.36,10.51,10.88
0,31.2,21.5,26.4,1,360,11.45,10.47,10.88
0,32,21.8,26.9,2,360,11.48,10.47,10.9
0,33.5,22.7,28.1,2,90,11.48,10.49,10.9
0,33.5,23.8,28.7,2,90,11.46,10.48,10.88
0,30.5,22.1,26.3,1,360,11.43,10.48,10.88
0,33,22.1,27.5,1,140,11.38,10.51,10.88
0,33.5,20.9,27.2,2,180,11.36,10.57,10.91
0,31,19.8,25.4,1,270,11.33,10.62,10.9
0,32.3,20,26.1,1,270,11.25,10.64,10.89
0,33,21,27,1,180,11.12,10.66,10.88
0,29,22,25.5,1,360,10.99,10.68,10.86
0,30.8,21.6,26.2,1,340,11.08,10.72,10.86
0,31,22,26.5,2,40,11.14,10.7,10.85
0,31,20.9,26,2,90,11.25,10.58,10.85
0,31.5,21.8,26.7,1,240,11.33,10.51,10.86
0,31,20.5,25.8,1,220,11.44,10.45,10.87
0,31,20.3,25.7,1,320,11.49,10.43,10.87
0,31.5,21.3,26.4,2,50,11.53,10.42,10.86
0,30.5,22,26.3,1,180,11.53,10.42,10.84
8.4,27.5,21.8,24.7,1,360,11.43,10.43,10.82
8.6,30,18.6,24.3,1,120,11.4,10.51,10.87
0,29.8,17.4,23.6,2,240,11.33,10.53,10.83
0,30.4,18.2,24.3,2,270,11.19,10.6,10.85
0,29.5,21,25.3,1,180,11.06,10.65,10.86
0,30.5,21.3,25.9,1,240,11.13,10.68,10.88
0,30.8,22.1,26.5,1,240,11.2,10.65,10.86
0.2,30.8,22.8,26.8,1,50,11.25,10.56,10.86
3.5,29.8,23,26.4,1,360,11.28,10.48,10.84
0.3,28.5,21.8,25.2,1,360,11.33,10.47,10.85
0,32,23,27.5,1,180,11.36,10.43,10.84
0,28.5,21.8,25.2,1,50,11.36,10.44,10.83
0,29,22.1,25.5,1,50,11.34,10.45,10.84
0,29.5,20.4,25,1,140,11.29,10.46,10.8
0.8,31,21,26,2,90,11.24,10.46,10.79
0,31.5,19.8,25.7,2,50,11.19,10.51,10.79
0,31.7,19.5,25.6,2,40,11.14,10.52,10.79
0,31.2,19.8,25.5,2,30,11.09,10.57,10.79
0,32,19.4,25.7,2,50,11,10.62,10.79
0,32.5,23,27.8,2,50,10.98,10.63,10.79
0,30.5,19.7,25.1,3,50,10.99,10.62,10.79
0,31,19,25,1,50,11.08,10.57,10.79
0,32,20.5,26.3,2,240,11.13,10.51,10.78
0,31,22.1,26.5,1,270,11.25,10.45,10.81
0,31.5,21.5,26.5,1,180,11.34,10.42,10.81
0,30.5,22,26.3,1,140,11.39,10.42,10.81
0,32.5,21,26.8,1,360,11.46,10.42,10.81
0,31.5,22.5,27,2,50,11.47,10.42,10.81
0,31.8,20.5,26.2,2,180,11.41,10.42,10.78
0,32,18,25,2,40,11.32,10.45,10.77
0,30,21.4,25.7,1,40,11.29,10.5,10.77
0,30.5,19.5,25,2,30,11.16,10.59,10.8
0,32,20.2,26.1,2,50,11.08,10.58,10.81
0,33,21.5,27.3,1,270,11.13,10.54,10.82
0.8,32.5,23,27.8,3,340,11.15,10.51,10.81
0,30,22.8,26.4,1,50,11.15,10.48,10.79
0,30.5,19,24.8,3,40,11.13,10.43,10.75
0,31,18.8,24.9,1,40,11.11,10.42,10.74
0,31.5,19.5,25.5,1,40,11.13,10.42,10.74
0,31.5,22.8,27.2,1,360,11.18,10.42,10.76
5.4,31,23.7,27.4,1,360,11.23,10.42,10.76
0,32,21,26.5,1,360,11.21,10.45,10.77
0,33.7,23.7,28.7,1,140,11.2,10.49,10.79
0,33.7,21.4,27.5,1,140,11.17,10.55,10.79
0,33.7,22.8,28.3,1,340,11.1,10.61,10.79
0,35.7,20.8,28.3,2,90,11.05,10.56,10.78
0,34.7,21,27.9,1,50,10.98,10.52,10.76
0,33.7,20.7,27.2,2,360,11.01,10.49,10.74
0,33,21,27,2,360,11.06,10.49,10.74
0,35.2,20.9,28,1,180,11.12,10.48,10.76
0,34,24.4,29.2,1,140,11.19,10.47,10.78
15.4,31.7,23.8,27.8,1,220,11.39,10.45,10.82
0,34.6,24.8,29.7,2,150,11.29,10.44,10.83
0,35.2,24,29.6,2,120,11.31,10.42,10.83
0,36.2,22.7,29.5,2,50,11.36,10.43,10.84
0,34.5,23.8,29.2,2,180,11.36,10.42,10.83
0,35,23.2,29.1,4,120,11.31,10.45,10.81
0,35,19.7,27.4,1,140,11.21,10.48,10.77
0,34.6,20.3,27.5,2,180,11.08,10.51,10.76
0,35.5,21,28.3,3,120,11.11,10.45,10.77
0,35.5,19.6,27.5,2,140,11.16,10.45,10.77
0,34.5,21,27.8,1,150,11.23,10.45,10.78
0,35,23.2,29.1,1,140,11.28,10.45,10.81
0,34.5,24.3,29.4,1,240,11.28,10.46,10.83
0,35.2,23.8,29.5,2,140,11.25,10.45,10.83
0,34.7,23.6,29.2,1,270,11.22,10.43,10.81
0,35,22.8,28.9,2,270,11.16,10.43,10.79
0,34.5,23.9,29.2,2,140,11.17,10.44,10.79
0,34,21,27.5,1,330,11.12,10.45,10.79
0,36,21,28.5,2,90,11.07,10.48,10.78
0,34.5,21.5,28,1,180,11.05,10.51,10.77
0,35,21.8,28.4,2,180,10.99,10.57,10.76
0,35.2,21,28.1,2,90,10.96,10.52,10.75
3.8,33.1,24.6,28.9,1,40,11.03,10.5,10.76
5.6,35,24.2,29.6,1,270,11.13,10.48,10.77
0,36,21.5,28.8,2,90,11.2,10.47,10.77
0.4,33.7,23.8,28.8,2,160,11.24,10.46,10.78
0.6,34,23.8,28.9,2,50,11.33,10.45,10.81
0,36,24.1,30,2,90,11.34,10.47,10.82
0,35.4,23.7,29.6,1,90,11.29,10.45,10.81
0,35,21.5,28.3,2,180,11.27,10.44,10.83
10,35.5,23.5,29.5,1,360,11.24,10.47,10.83
0,36.2,22,29.1,2,150,11.18,10.46,10.8
0,35.5,22.6,29,1,150,11.18,10.45,10.78
0,34.5,23.3,28.9,2,120,11.12,10.46,10.77
0,34.8,22.6,28.7,1,90,11.04,10.52,10.75
0,34.8,25,29.9,2,240,11.1,10.47,10.76
0,34,26,30,1,30,11.23,10.45,10.77
0,35.5,23.8,29.7,2,160,11.32,10.45,10.8
0,36.5,23,29.8,2,90,11.39,10.46,10.82
0,35,22.6,28.8,2,180,11.42,10.47,10.84
0,36.5,23.8,30.2,2,140,11.35,10.46,10.8
0,36.5,23.3,29.9,2,40,11.32,10.46,10.81
0,36.5,23.6,30,2,20,11.23,10.45,10.8
0,35.7,22.5,29.1,2,90,11.17,10.46,10.79
0,35,23,29,2,360,11.12,10.47,10.8
0,36,23.5,29.8,2,140,11.07,10.47,10.79
0,36.2,24.5,30.4,2,180,10.97,10.48,10.77
0,33,24.8,28.9,1,140,10.92,10.52,10.75
0,36,25,30.5,2,360,10.99,10.6,10.77
0,36.2,25.7,31,1,180,11.06,10.49,10.76
0,36.5,23.2,29.9,2,140,11.17,10.48,10.77
0,37.5,24.8,31.2,2,180,11.26,10.47,10.78
0,37.5,27.5,32.5,2,180,11.31,10.47,10.79
0,36.5,26,31.3,2,220,11.37,10.46,10.8
0.3,36.5,25.3,30.9,1,180,11.38,10.45,10.81
15.6,35.5,24.6,30,1,270,11.44,10.45,10.85
0,34.5,25.3,29.9,1,240,11.53,10.42,10.98
4,35.5,25.8,30.7,2,340,11.39,10.42,10.85
0.2,31.8,26,28.9,2,240,11.33,10.42,10.86
0,32.5,24.5,28.5,2,210,11.22,10.42,10.83
0,33.5,24.8,29.2,2,240,11.12,10.42,10.81
0.3,34,24.5,29.3,2,240,11.02,10.51,10.82
0,33.5,26.4,30,2,240,11.08,10.6,10.81
1.6,33,25.5,29.3,3,240,11.21,10.49,10.82
18.8,32.8,24,28.4,2,240,11.33,10.53,10.94
0,34,25.8,29.9,1,220,11.43,10.42,10.85
0,33,24,28.5,2,210,11.5,10.41,10.85
7.2,33,24.5,28.8,1,220,11.61,10.41,10.88
0,34,24.8,29.4,1,180,11.5,10.41,10.88
1.7,33.5,25.7,29.6,2,270,11.49,10.41,10.88
5.6,31.5,24,27.8,1,240,11.46,10.41,10.91
3,32,24.8,28.4,2,240,11.43,10.47,11
7.8,33.7,24,28.9,2,270,11.29,10.51,10.95
0,32.5,26.1,29.3,2,240,11.17,10.57,10.91
0,33.5,25,29.3,2,240,11.06,10.56,10.88
0,34,26,30,2,240,11.08,10.6,10.88
16.6,32.5,24,28.3,2,230,11.13,10.72,10.89
1.6,32.3,23.8,28,2,270,11.2,10.66,10.89
10.8,34.2,24,29.1,2,240,11.29,10.56,10.89
0,35.8,26,30.9,1,340,11.38,10.49,10.88
0,37.4,26,31.7,1,120,11.48,10.44,10.9
11.2,35,25,30,1,140,11.53,10.52,10.94
0,34.5,25,29.8,2,180,11.59,10.43,10.93
0,34,25,29.5,1,360,11.59,10.43,10.93
0.8,35,25,30,1,270,11.59,10.42,10.93
2.8,34.5,25.5,30,1,360,11.52,10.45,10.93
0,35.5,25,30.3,2,340,11.44,10.48,10.94
0,35,24.5,29.8,1,360,11.46,10.5,10.94
16,34.2,25,29.6,1,340,11.4,10.54,10.93
18.2,31.2,24.8,28,1,160,11.34,10.63,10.97
0,32.5,25,28.8,1,230,11.21,10.73,10.92
12.6,34,24.2,29.1,3,140,11.31,10.6,10.94
0,35,24.7,29.9,2,240,11.44,10.47,10.91
0,34,25,29.5,2,240,11.51,10.41,10.9
5.8,34.5,25,29.8,2,210,11.58,10.4,10.93
36,33.5,24,28.8,1,330,11.59,10.53,11.05
0,34,25,29.5,1,360,11.58,10.4,10.92
8.2,33,24.8,28.9,1,180,11.56,10.43,10.96
11.2,33,24.7,28.9,1,240,11.5,10.51,10.99
16,34.2,23.5,28.9,2,270,11.63,10.56,11.02
22,34.5,24.8,29.7,1,360,11.55,10.6,11.05
4.8,33.5,26,29.8,2,270,11.63,10.71,11.05
2.2,30.8,26,28.4,2,240,11.41,10.73,11.07
34.2,31,24.2,27.6,3,240,11.7,10.8,11.21
114.6,30.2,23.9,27,3,320,12.29,10.99,11.3
162.5,25.2,23.8,24.5,2,180,13.55,12.2,13.07
246.4,26.5,24.3,25.4,2,230,13.63,11.77,12.74
57.1,30.5,25.5,28,4,220,13.21,11.27,11.96
17.5,30.5,24.9,27.7,4,240,12.27,11.12,11.62
16.8,32,25.5,28.8,5,240,11.9,10.88,11.35
5,31,24,27.5,3,240,11.93,10.8,11.32
151.2,30,23,26.5,3,240,13.1,11.17,11.76
103,26.2,23,24.6,1,230,14.21,11.1,12.65
20.4,27.5,23,25.3,1,220,13.39,11.32,12.08
1.1,29,22.7,25.9,1,240,11.75,10.98,11.38
0,32.6,23.2,27.9,2,240,11.57,10.96,11.25
0,33.7,24.8,29.3,2,330,11.4,11.01,11.21
2,33,24.8,28.9,2,270,11.31,11.04,11.19
53.7,33,23.8,28.4,2,270,11.74,11.04,11.23
190.8,25.5,23,24.3,1,360,13.44,11.1,11.82
6,26.3,23.2,24.8,3,270,13.75,11.36,12.43
3.6,30,24.4,27.2,2,240,11.89,11.15,11.48
0,31.2,23.5,27.4,3,340,11.94,11.02,11.43
9.5,31.5,24.8,28.2,2,240,11.94,11,11.39
42.6,29,23.5,26.3,1,330,12.27,11.23,11.6
10.6,26.6,23.8,25.2,1,240,12.17,11.27,11.67
0,31.5,23.5,27.5,1,240,11.95,11.18,11.51
0,32.5,24.8,28.7,2,230,11.85,11.17,11.46
0,32.5,25.6,29,2,240,11.76,11.21,11.43
8,33,22.3,27.7,2,220,11.67,11.23,11.41
24.8,32,24.8,28.4,1,240,11.82,11.3,11.5
9.7,28,24,26,3,230,11.6,11.36,11.5
2.6,30,24.5,27.3,4,240,11.72,11.35,11.49
0.8,32.5,25,28.8,3,230,11.65,11.34,11.43
0,34,25.5,29.8,2,230,11.68,11.24,11.42
0.4,32.5,24.7,28.6,2,270,11.78,11.14,11.42
1.6,34,24.5,29.3,1,230,11.81,11.07,11.39
0,32.5,25.9,29.2,1,270,11.89,11.04,11.4
1.4,32.8,25,28.9,1,320,11.94,11.01,11.44
36.9,32.5,23.5,28,2,270,11.96,11.02,11.44
28,33,22.9,28,1,270,12.44,11.06,11.69
19.5,31.5,23.9,27.7,1,230,12.02,11.15,11.57
10.6,29.5,24.8,27.2,1,360,11.82,11.15,11.41
99.7,27.5,24.2,25.9,1,340,13.95,11.3,12.12
30.5,31.6,23.8,27.7,2,140,12.03,11.49,11.66
11.9,30.2,24.4,27.3,1,230,11.78,11.46,11.61
4.6,29,24.2,26.6,1,150,11.81,11.41,11.58
12.2,30.9,24,27.5,2,140,11.85,11.38,11.57
0.4,31.5,24,27.8,1,230,11.94,11.32,11.59
0,32.5,24.8,28.7,2,270,11.95,10.96,11.53
7.4,33.8,23.5,28.6,2,360,11.91,11.18,11.51
2.8,30.5,23.5,27,1,360,11.9,11.17,11.51
1.2,32,24,28,1,330,11.9,11.18,11.49
1,32.5,25,28.8,1,230,11.85,11.19,11.47
25.6,32.5,23,27.8,1,50,12.22,11.37,11.63
3.3,33.2,22.5,27.9,2,240,11.8,11.31,11.49
6,33,23.8,28.4,1,240,11.72,11.26,11.49
19.8,32,23.8,27.9,1,270,12.01,11.37,11.55
30.8,32,24,28,1,330,12.3,11.34,11.53
3,33.5,24,28.8,1,330,11.79,11.29,11.47
72.8,32.5,23,27.8,2,220,13.27,11.33,11.74
0,32,24.5,28.3,1,220,12.19,11.37,11.54
0,33.5,24,28.8,1,320,11.68,11.21,11.4
8.2,34,23.8,28.9,2,340,11.7,11.08,11.39
0,33.5,24,28.8,1,230,11.75,11.11,11.4
2,33.5,24.8,29.2,2,240,11.77,11.09,11.4
20.2,32,24,28,2,220,11.95,11.13,11.54
64.6,27.5,23.7,25.6,1,180,12.4,11.46,11.84
15.6,29.5,23.8,26.7,2,230,11.94,11.21,11.55
39.6,27,23.2,25.1,1,180,12.78,11.46,11.85
15.8,30,24,27,3,220,11.88,11.4,11.62
4.2,30,24,27,1,200,11.73,11.36,11.53
22,27.5,23.5,25.5,1,160,11.9,11.26,11.51
4.2,31,23.2,27.1,1,180,11.66,11.24,11.41
0.6,32,23.9,28,1,330,11.68,11.21,11.4
45.1,32,22.5,27.3,1,320,12.47,11.15,11.59
43.2,32.2,22.3,27.3,1,270,11.74,11.14,11.46
2.1,31.5,24,27.8,2,230,12.69,11.27,11.67
34.8,31.9,24,28,2,270,12.04,11.22,11.64
0,31,23.8,27.4,1,50,11.84,11.22,11.51
1.5,31.5,24,27.8,2,270,11.78,11.19,11.47
0,31.5,24,27.8,1,340,11.78,11.22,11.46
9.4,31.8,23.5,27.7,1,230,11.72,11.32,11.5
27,32,22.8,27.4,1,240,12.27,11.26,11.56
1.6,31.5,23,27.3,1,360,11.68,11.33,11.5
0,31.5,24.5,28,1,50,11.56,11.28,11.41
25,32.5,24,28.3,1,140,11.78,11.21,11.44
0,33,23.8,28.4,1,360,11.56,11.2,11.36
20.6,33,25,29,1,240,11.58,11.18,11.39
1,32.6,24,28.3,1,50,11.62,11.17,11.35
17.8,33.5,24,28.8,1,50,11.64,11.12,11.35
0.2,30.5,24,27.3,1,360,11.78,11.15,11.42
0,33,24,28.5,1,360,11.71,11.08,11.36
7.4,32,23.5,27.8,1,50,11.69,11.07,11.36
25.8,32.5,23.8,28.2,1,230,11.9,11.18,11.45
4.8,30,23.3,26.7,1,360,11.72,11.05,11.36
0,31,24,27.5,1,50,11.71,11.06,11.35
0,30,23.2,26.6,1,230,11.68,11.13,11.35
5.4,32,24,28,1,360,11.8,11.14,11.41
1,33.2,24,28.6,1,40,11.93,11.1,11.44
76,31,23.9,27.5,1,330,12.64,11.11,11.54
47.6,32,23.8,27.9,1,330,13.19,11.08,11.49
8.4,33,24.8,28.9,1,330,13.02,11.18,11.55
5.2,31.5,24.5,28,1,230,11.95,10.81,11.33
0,31.5,23.6,27.5,1,40,11.9,11.09,11.39
1.4,31.5,24.9,28.2,1,180,11.72,11.09,11.36
0,33,23.5,28.3,1,50,11.65,11.02,11.33
1.8,28.5,24,26.3,1,360,11.59,11.03,11.31
11.1,32,22.8,27.4,1,320,11.62,11.07,11.35
8.8,32,23.8,27.9,1,270,11.55,11.12,11.34
11.2,32.5,23,27.8,1,320,11.75,11.12,11.35
0,33,23,28,1,150,11.47,11.12,11.27
0,32.6,23.2,27.9,1,70,11.47,11.08,11.28
0,33.8,23,28.4,1,180,11.5,11.08,11.3
0,34.5,23.5,29,1,50,11.55,11.02,11.26
0,34.8,23,28.9,1,160,11.57,10.99,11.23
0,35,24.2,29.6,1,50,11.57,10.93,11.22
0,34.5,22.9,28.7,1,50,11.62,10.9,11.2
0,33.5,23.2,28.4,1,50,11.64,10.9,11.2
19,32.5,23.2,27.9,1,50,11.6,10.88,11.22
1.2,32,23.5,27.8,1,340,11.59,10.9,11.21
5.4,32.1,23,27.6,1,50,11.59,10.6,11.14
0,33,24.8,28.9,1,330,11.54,10.72,11.13
6,33,24,28.5,1,50,11.51,10.88,11.2
0,33,24.4,28.7,1,140,11.61,10.97,11.24
9.2,27.5,22.5,25,1,360,11.44,10.97,11.19
76.5,28,25.2,26.6,2,360,11.94,10.94,11.27
10.5,28,22.2,25.1,1,360,11.67,11.27,11.43
0,31.5,22.5,27,1,320,11.64,10.93,11.23
0,29.5,23.5,26.5,1,360,11.71,10.86,11.21
45.6,32,22.1,27,1,160,12.71,10.82,11.41
44.8,33,23.2,28.1,1,50,12.5,10.86,11.38
13.2,25.5,22,23.8,1,320,12.13,11.29,11.54
0,32.5,23.5,28,1,360,11.72,10.95,11.26
3.2,31.5,23.5,27.5,1,360,11.6,10.93,11.25
0,33.6,23,28.3,1,150,11.53,10.99,11.25
0,31.8,25.2,28.5,1,140,11.48,11.03,11.25
