RAINFALL,TMAX,TMIN,TMEAN,WIND_SPEED,WIND_DIRECTION,FLOOD_HEIGHT_HIGHEST,FLOOD_HEIGHT_LOWEST,FLOOD__HEIGHT_AVE
-1,31,24.3,27.7,1,120,12.51,12.5,12.5
-1,31,24.6,27.8,2,110,12.5,12.48,12.49
-1,30.9,22.7,26.8,4,110,12.48,12.45,12.47
-1,30.4,23.3,26.9,4,110,12.48,12.46,12.47
-1,30.6,24.2,27.4,3,110,12.46,12.42,12.43
-1,30.6,23.3,27,2,120,12.42,12.41,12.41
-1,32.1,24.4,28.3,1,140,12.49,12.38,12.4
-1,30.2,24,27.1,2,120,12.38,12.37,12.37
-1,31.7,24.2,28,2,110,12.37,12.34,12.35
-1,31.9,25.6,28.8,2,110,12.34,12.32,12.32
-1,31.2,22.8,27,3,120,12.32,12.29,12.3
-1,31.1,23.1,27.1,2,120,12.29,12.27,12.28
-1,30.8,24.4,27.6,3,130,12.27,12.25,12.26
-1,31.8,24.5,28.2,2,120,12.25,12.24,12.24
-1,31.3,23.4,27.4,3,110,12.24,12.22,12.23
-1,31.5,22.2,26.9,2,110,12.22,12.2,12.2
-1,31.1,24.5,27.8,2,160,12.28,12.16,12.18
-1,29.7,23.8,26.8,4,120,12.29,12.16,12.2
-1,29.4,23.4,26.4,3,20,12.17,12.12,12.13
-1,29.8,22.6,26.2,2,20,12.12,12.11,12.11
-1,28.5,22.6,25.5,4,110,12.11,12.09,12.09
-1,25.9,21.8,23.9,3,80,12.16,12.1,12.13
-1,30,22.8,26.4,5,110,12.17,12.16,12.17
-1,25,22.4,23.7,2,100,12.16,12.13,12.15
-1,30.4,22.7,26.5,2,60,12.13,12.11,12.12
-1,29.4,22.6,26,4,110,12.11,12.1,12.1
-1,27.4,21.1,24.3,3,50,12.1,12.07,12.08
-1,25.8,23.1,24.5,4,60,12.09,12.07,12.08
-1,26.7,20.7,23.7,2,80,12.09,12.07,12.07
-1,28.5,21.2,24.9,3,120,12.07,12.05,12.05
